,Country,ISO3 Code,Date,Price (EUR/MWhe),date,day,month,year
0,Austria,AUT,2015-01-01,31.68,2015-01-01,1,1,2015
1,Austria,AUT,2015-02-01,36.69,2015-02-01,1,2,2015
2,Austria,AUT,2015-03-01,31.3,2015-03-01,1,3,2015
3,Austria,AUT,2015-04-01,29.78,2015-04-01,1,4,2015
4,Austria,AUT,2015-05-01,25.33,2015-05-01,1,5,2015
5,Austria,AUT,2015-06-01,30.11,2015-06-01,1,6,2015
6,Austria,AUT,2015-07-01,34.98,2015-07-01,1,7,2015
7,Austria,AUT,2015-08-01,31.61,2015-08-01,1,8,2015
8,Austria,AUT,2015-09-01,31.89,2015-09-01,1,9,2015
9,Austria,AUT,2015-10-01,39.37,2015-10-01,1,10,2015
10,Austria,AUT,2015-11-01,32.38,2015-11-01,1,11,2015
11,Austria,AUT,2015-12-01,27.79,2015-12-01,1,12,2015
12,Austria,AUT,2016-01-01,29.03,2016-01-01,1,1,2016
13,Austria,AUT,2016-02-01,22.0,2016-02-01,1,2,2016
14,Austria,AUT,2016-03-01,24.3,2016-03-01,1,3,2016
15,Austria,AUT,2016-04-01,24.21,2016-04-01,1,4,2016
16,Austria,AUT,2016-05-01,22.55,2016-05-01,1,5,2016
17,Austria,AUT,2016-06-01,27.7,2016-06-01,1,6,2016
18,Austria,AUT,2016-07-01,27.18,2016-07-01,1,7,2016
19,Austria,AUT,2016-08-01,27.18,2016-08-01,1,8,2016
20,Austria,AUT,2016-09-01,30.51,2016-09-01,1,9,2016
21,Austria,AUT,2016-10-01,37.14,2016-10-01,1,10,2016
22,Austria,AUT,2016-11-01,38.21,2016-11-01,1,11,2016
23,Austria,AUT,2016-12-01,37.47,2016-12-01,1,12,2016
24,Austria,AUT,2017-01-01,52.41,2017-01-01,1,1,2017
25,Austria,AUT,2017-02-01,39.68,2017-02-01,1,2,2017
26,Austria,AUT,2017-03-01,31.69,2017-03-01,1,3,2017
27,Austria,AUT,2017-04-01,28.72,2017-04-01,1,4,2017
28,Austria,AUT,2017-05-01,30.61,2017-05-01,1,5,2017
29,Austria,AUT,2017-06-01,30.0,2017-06-01,1,6,2017
30,Austria,AUT,2017-07-01,33.01,2017-07-01,1,7,2017
31,Austria,AUT,2017-08-01,30.86,2017-08-01,1,8,2017
32,Austria,AUT,2017-09-01,34.3,2017-09-01,1,9,2017
